TIME PERIOD,PRODUCT,TOTAL DOLS (000),NETWORK TV DOLS (000),CABLE TV DOLS (000),SYNDICATION DOLS (000),SPOT TV DOLS (000),MAGAZINES DOLS (000),SUNDAY MAGS DOLS (000),NATL NEWSP DOLS (000),NEWSPAPER DOLS (000),NETWORK RADIO DOLS (000),NAT SPOT RADIO DOLS (000),OUTDOOR DOLS (000)
"WEEK OF JAN 06, 2014 (B)",Hulu Latino : Online,1.7,0,0,0,0,0,0,0,0,0,1.7,0
"WEEK OF JAN 06, 2014 (B)",Hulu Plus : Online,494.3,0,443.8,49.5,1.1,0,0,0,0,0,0,0
"WEEK OF JAN 13, 2014 (B)",Hulu : Online,70.7,0,0,0,70.7,0,0,0,0,0,0,0
"WEEK OF JAN 13, 2014 (B)",Hulu Latino : Online,1.7,0,0,0,0,0,0,0,0,0,1.7,0
"WEEK OF JAN 13, 2014 (B)",Hulu Plus : Online,439.5,0,425.8,0,13.7,0,0,0,0,0,0,0
"WEEK OF JAN 20, 2014 (B)",Hulu : Online,44.9,0,0,0,44.9,0,0,0,0,0,0,0
"WEEK OF JAN 20, 2014 (B)",Hulu Latino : Online,1.7,0,0,0,0,0,0,0,0,0,1.7,0
"WEEK OF JAN 20, 2014 (B)",Hulu Plus : Online,674.1,76,396.1,188.9,13.1,0,0,0,0,0,0,0
"WEEK OF JAN 27, 2014 (B)",Hulu : Online,11.6,0,0,0,11.6,0,0,0,0,0,0,0
"WEEK OF JAN 27, 2014 (B)",Hulu Latino : Online,1.2,0,0,0,0,0,0,0,0,0,1.2,0
"WEEK OF JAN 27, 2014 (B)",Hulu Plus : Online,305.8,0,210.7,85.3,9.8,0,0,0,0,0,0,0
"WEEK OF FEB 03, 2014 (B)",Hulu Plus : Online,102.4,0,0,102.4,0,0,0,0,0,0,0,0
"WEEK OF FEB 10, 2014 (B)",Hulu Plus : Online,87.9,0,0,87.9,0,0,0,0,0,0,0,0
"WEEK OF FEB 17, 2014 (B)",Hulu Plus : Online,109.4,0,0,109.4,0,0,0,0,0,0,0,0
"WEEK OF FEB 24, 2014 (B)",Hulu Plus : Online,541.8,0,221.2,25.8,2.8,0,0,0,0,0,0,292
"WEEK OF FEB 24, 2014 (B)",Hulu-Deadbeat : Online,48.7,0,0,0,0,0,0,0,0,0,0,48.7
"WEEK OF MAR 03, 2014 (B)",Hulu Plus : Online,415.6,0,389.6,26,0,0,0,0,0,0,0,0
"WEEK OF MAR 10, 2014 (B)",Hulu Plus : Online,466.5,0,262.2,193.6,10.7,0,0,0,0,0,0,0
"WEEK OF MAR 17, 2014 (B)",Hulu Plus : Online,454.9,0,287.4,151,16.5,0,0,0,0,0,0,0
"WEEK OF MAR 24, 2014 (B)",Hulu : Online,8.9,0,0,0,8.9,0,0,0,0,0,0,0
"WEEK OF MAR 24, 2014 (B)",Hulu Plus : Online,325.2,0,275.3,26,23.9,0,0,0,0,0,0,0
"WEEK OF MAR 31, 2014 (B)",Hulu : Online,200.5,0,0,0,24.1,0,0,0,0,0,0,176.4
"WEEK OF MAR 31, 2014 (B)",Hulu Plus : Online,666.5,0,295,50.4,86.5,0,0,0,0,0,0,234.5
"WEEK OF MAR 31, 2014 (B)",Hulu-Deadbeat : Online,58.8,0,0,0,0,0,0,0,0,0,0,58.8
"WEEK OF APR 07, 2014 (B)",Hulu : Online,359.7,0,337.7,0,22,0,0,0,0,0,0,0
"WEEK OF APR 07, 2014 (B)",Hulu Plus : Online,336.5,0,278.5,0,58,0,0,0,0,0,0,0
"WEEK OF APR 14, 2014 (B)",Hulu : Online,15.3,0,0,0,15.3,0,0,0,0,0,0,0
"WEEK OF APR 14, 2014 (B)",Hulu Plus : Online,384.6,0,352.7,0,31.9,0,0,0,0,0,0,0
"WEEK OF APR 21, 2014 (B)",Hulu : Online,21,0,0,0,21,0,0,0,0,0,0,0
"WEEK OF APR 21, 2014 (B)",Hulu Plus : Online,596.3,0,410.5,138.2,47.6,0,0,0,0,0,0,0
"WEEK OF APR 28, 2014 (B)",Hulu : Online,19.6,0,0,0,19.6,0,0,0,0,0,0,0
"WEEK OF APR 28, 2014 (B)",Hulu Plus : Online,390.9,0,346.9,0,44,0,0,0,0,0,0,0
"WEEK OF MAY 05, 2014 (B)",Hulu : Online,24.9,0,0,0,24.9,0,0,0,0,0,0,0
"WEEK OF MAY 05, 2014 (B)",Hulu Plus : Online,31.4,0,0,0,31.4,0,0,0,0,0,0,0
"WEEK OF MAY 12, 2014 (B)",Hulu : Online,1.7,0,0,0,1.7,0,0,0,0,0,0,0
"WEEK OF MAY 12, 2014 (B)",Hulu Plus : Online,365.6,0,301.8,0,63.8,0,0,0,0,0,0,0
"WEEK OF MAY 19, 2014 (B)",Hulu Plus : Online,527.4,0,421.9,20.7,84.8,0,0,0,0,0,0,0
"WEEK OF MAY 26, 2014 (B)",Hulu Plus : Online,804.9,0,420.9,282.2,101.8,0,0,0,0,0,0,0
"WEEK OF JUN 02, 2014 (B)",Hulu Plus : Online,534.4,0,372.5,10.9,151,0,0,0,0,0,0,0
"WEEK OF JUN 09, 2014 (B)",Hulu Plus : Online,567,0,440.5,0,126.5,0,0,0,0,0,0,0
"WEEK OF JUN 16, 2014 (B)",Hulu Plus : Online,535,0,271.6,161.4,102,0,0,0,0,0,0,0
"WEEK OF JUN 23, 2014 (B)",Hulu Plus : Online,877.7,0,265.5,494.6,117.6,0,0,0,0,0,0,0
"WEEK OF JUN 30, 2014 (B)",Hulu : Online,11.5,0,0,0,0,0,0,0,0,0,0,11.5
"WEEK OF JUN 30, 2014 (B)",Hulu Plus : Online,1049.2,0,406.5,520.1,122.6,0,0,0,0,0,0,0
"WEEK OF JUN 30, 2014 (B)",Hulu-Awesomes : Online,7.4,0,0,0,0,0,0,0,0,0,1.5,5.9
"WEEK OF JUN 30, 2014 (B)",Hulu-East Los High : Online,18.7,0,0,0,0,0,0,0,0,0,0.4,18.3
"WEEK OF JUL 07, 2014 (B)",Hulu Plus : Online,650.8,0,354.8,221.7,74.3,0,0,0,0,0,0,0
"WEEK OF JUL 07, 2014 (B)",Hulu-Awesomes : Online,1.8,0,0,0,0,0,0,0,0,0,1.8,0
"WEEK OF JUL 07, 2014 (B)",Hulu-East Los High : Online,0.5,0,0,0,0,0,0,0,0,0,0.5,0
"WEEK OF JUL 14, 2014 (B)",Hulu Plus : Online,642.5,0,358.5,264.4,19.6,0,0,0,0,0,0,0
"WEEK OF JUL 14, 2014 (B)",Hulu-Awesomes : Online,1.8,0,0,0,0,0,0,0,0,0,1.8,0
