TIME PERIOD,PRODUCT,TOTAL DOLS (000),NETWORK TV DOLS (000),CABLE TV DOLS (000),SYNDICATION DOLS (000),SPOT TV DOLS (000),MAGAZINES DOLS (000),SUNDAY MAGS DOLS (000),NATL NEWSP DOLS (000),NEWSPAPER DOLS (000),NETWORK RADIO DOLS (000),NAT SPOT RADIO DOLS (000),OUTDOOR DOLS (000)
"WEEK OF APR 20, 2015 (B)",Hulu : Online,1244.5,673.6,565.1,5.7,0.2,0,0,0,0,0,0,0
"WEEK OF APR 20, 2015 (B)",Hulu-Deadbeat : Online,126,0,126,0,0,0,0,0,0,0,0,0
"WEEK OF APR 20, 2015 (B)",Hulu-Empire : Online,75.6,0,75.6,0,0,0,0,0,0,0,0,0
"WEEK OF APR 27, 2015 (B)",Hulu : Online,289.1,0,176,58.2,19.2,0,0,0,0,0,0,35.7
"WEEK OF APR 27, 2015 (B)",Hulu-Deadbeat : Online,2.4,0,0,0,0,0,0,0,0,0,0,2.4
"WEEK OF APR 27, 2015 (B)",Hulu-Empire : Online,45.6,0,45.6,0,0,0,0,0,0,0,0,0
"WEEK OF APR 27, 2015 (B)",Hulu-Jack Hannas Wild Countdown : Online,3.7,0,0,3.7,0,0,0,0,0,0,0,0
"WEEK OF MAY 04, 2015 (B)",Hulu : Online,241.6,94,142,5.6,0,0,0,0,0,0,0,0
"WEEK OF MAY 11, 2015 (B)",Hulu : Online,825.2,584.1,235.9,0,5.2,0,0,0,0,0,0,0
"WEEK OF MAY 11, 2015 (B)",Hulu-Jack Hannas Wild Countdown : Online,3.7,0,0,3.7,0,0,0,0,0,0,0,0
"WEEK OF MAY 18, 2015 (B)",Hulu : Online,640.6,352,202.8,80.8,5,0,0,0,0,0,0,0
"WEEK OF MAY 25, 2015 (B)",Hulu : Online,841.9,252.9,209.2,379,0.8,0,0,0,0,0,0,0
"WEEK OF MAY 25, 2015 (B)",Hulu-Tyrant : Online,1.5,0,1.5,0,0,0,0,0,0,0,0,0
"WEEK OF JUN 01, 2015 (B)",Hulu : Online,1862.1,1186.4,136.1,26.7,12.7,0,0,0,0,0,0,500.2
"WEEK OF JUN 01, 2015 (B)",Hulu-Seinfeld : Online,29.3,0,0,0,0,0,0,0,0,0,27.8,1.5
"WEEK OF JUN 01, 2015 (B)",Hulu-Tyrant : Online,12.9,0,12.9,0,0,0,0,0,0,0,0,0
"WEEK OF JUN 08, 2015 (B)",Hulu : Online,451.8,281.6,160.9,9.3,0,0,0,0,0,0,0,0
"WEEK OF JUN 08, 2015 (B)",Hulu-Seinfeld : Online,27.8,0,0,0,0,0,0,0,0,0,27.8,0
"WEEK OF JUN 08, 2015 (B)",Hulu-Tyrant : Online,13.3,0,13.3,0,0,0,0,0,0,0,0,0
"WEEK OF JUN 15, 2015 (B)",Hulu : Online,140.4,0,131.2,9.3,0,0,0,0,0,0,0,0
"WEEK OF JUN 15, 2015 (B)",Hulu-Seinfeld : Online,27.8,0,0,0,0,0,0,0,0,0,27.8,0
"WEEK OF JUN 15, 2015 (B)",Hulu-Tyrant : Online,12.7,0,12.7,0,0,0,0,0,0,0,0,0
"WEEK OF JUN 22, 2015 (B)",Hulu : Online,482.4,0,471,9.3,2.2,0,0,0,0,0,0,0
"WEEK OF JUN 22, 2015 (B)",Hulu-Seinfeld : Online,83,0,55.2,0,0,0,0,0,0,0,27.8,0
"WEEK OF JUN 22, 2015 (B)",Hulu-Strain : Online,24.9,0,24.9,0,0,0,0,0,0,0,0,0
"WEEK OF JUN 22, 2015 (B)",Hulu-Tyrant : Online,8.1,0,8.1,0,0,0,0,0,0,0,0,0
"WEEK OF JUN 29, 2015 (B)",Hulu : Online,1258.1,0,301.9,9,0,0,0,0,0,0,0,947.2
"WEEK OF JUN 29, 2015 (B)",Hulu-Difficult People : Online,12.9,0,0,0,0,0,0,0,0,0,0,12.9
"WEEK OF JUN 29, 2015 (B)",Hulu-Seinfeld : Online,12.5,0,0,0,0,0,0,0,0,0,8,4.5
"WEEK OF JUN 29, 2015 (B)",Hulu-Strain : Online,27.8,0,27.8,0,0,0,0,0,0,0,0,0
"WEEK OF JUN 29, 2015 (B)",Hulu-Tyrant : Online,0.7,0,0.7,0,0,0,0,0,0,0,0,0
"WEEK OF JUL 06, 2015 (B)",Hulu : Online,278.8,0,278.8,0,0,0,0,0,0,0,0,0
"WEEK OF JUL 06, 2015 (B)",Hulu-Seinfeld : Online,225.4,0,0,0,0,225.4,0,0,0,0,0,0
"WEEK OF JUL 06, 2015 (B)",Hulu-Strain : Online,57.9,0,57.9,0,0,0,0,0,0,0,0,0
"WEEK OF JUL 06, 2015 (B)",Hulu-Tyrant : Online,7.6,0,7.6,0,0,0,0,0,0,0,0,0
"WEEK OF JUL 13, 2015 (B)",Hulu : Online,318.8,0,318.8,0,0,0,0,0,0,0,0,0
"WEEK OF JUL 13, 2015 (B)",Hulu-East Los High : Online,81.8,0,81.8,0,0,0,0,0,0,0,0,0
"WEEK OF JUL 13, 2015 (B)",Hulu-Seinfeld : Online,345.9,0,0,0,0,345.9,0,0,0,0,0,0
"WEEK OF JUL 13, 2015 (B)",Hulu-Tyrant : Online,12.5,0,12.5,0,0,0,0,0,0,0,0,0
"WEEK OF JUL 20, 2015 (B)",Hulu : Online,286.9,0,286.9,0,0,0,0,0,0,0,0,0
"WEEK OF JUL 20, 2015 (B)",Hulu-Hotwives Of Las Vegas : Online,41.3,0,0,0,0,41.3,0,0,0,0,0,0
"WEEK OF JUL 20, 2015 (B)",Hulu-Tyrant : Online,11.2,0,11.2,0,0,0,0,0,0,0,0,0
"WEEK OF JUL 27, 2015 (B)",Hulu : Online,769.2,0,270.3,0,0,0,0,0,0,0,5,493.9
"WEEK OF JUL 27, 2015 (B)",Hulu-Awesomes : Online,0.1,0,0,0,0,0,0,0,0,0,0,0.1
"WEEK OF JUL 27, 2015 (B)",Hulu-Difficult People : Online,148.1,0,89,0,0,0,0,0,0,0,0,59.1
"WEEK OF JUL 27, 2015 (B)",Hulu-Hotwives Of Las Vegas : Online,7,0,0,0,0,0,0,0,0,0,0,7
"WEEK OF AUG 03, 2015 (B)",Hulu : Online,480.7,0,463.3,0,0,0,0,0,0,0,17.5,0
"WEEK OF AUG 03, 2015 (B)",Hulu-Difficult People : Online,240.8,0,240.8,0,0,0,0,0,0,0,0,0
"WEEK OF AUG 10, 2015 (B)",Hulu : Online,252.5,0,234.9,0,0.1,0,0,0,0,0,17.5,0
"WEEK OF AUG 10, 2015 (B)",Hulu-Difficult People : Online,148.9,0,148.9,0,0,0,0,0,0,0,0,0
"WEEK OF AUG 17, 2015 (B)",Hulu : Online,518.8,0,501.3,0,0,0,0,0,0,0,17.5,0
"WEEK OF AUG 17, 2015 (B)",Hulu-Difficult People : Online,345.9,0,0,0,0,345.9,0,0,0,0,0,0
"WEEK OF AUG 24, 2015 (B)",Hulu : Online,447.9,0,430.3,0,0.1,0,0,0,0,0,17.5,0
"WEEK OF AUG 24, 2015 (B)",Hulu-Hotwives Of Las Vegas : Online,361.9,0,0,0,0,361.9,0,0,0,0,0,0
"WEEK OF AUG 24, 2015 (B)",Hulu-Youre The Worst : Online,4.6,0,4.6,0,0,0,0,0,0,0,0,0
"WEEK OF AUG 31, 2015 (B)",Hulu : Online,776,0,174.8,0,0.1,0,0,0,0,16,10.6,574.5
"WEEK OF AUG 31, 2015 (B)",Hulu Plus : Online,171.7,0,0,0,0,0,0,0,0,0,0,171.7
"WEEK OF AUG 31, 2015 (B)",Hulu-Awesomes : Online,1.6,0,0,0,0,0,0,0,0,0,0,1.6
"WEEK OF AUG 31, 2015 (B)",Hulu-Casual : Online,1.6,0,0,0,0,0,0,0,0,0,0,1.6
"WEEK OF AUG 31, 2015 (B)",Hulu-Hotwives Of Las Vegas : Online,37.3,0,0,0,0,31.3,0,0,0,0,0,6
"WEEK OF AUG 31, 2015 (B)",Hulu-Manhattan : Online,3.5,0,3.5,0,0,0,0,0,0,0,0,0
"WEEK OF AUG 31, 2015 (B)",Hulu-Mindy Project : Online,27.3,0,0,0,0,0,0,0,0,0,0,27.3
"WEEK OF AUG 31, 2015 (B)",Hulu-Youre The Worst : Online,10.5,0,10.5,0,0,0,0,0,0,0,0,0
"WEEK OF SEP 07, 2015 (B)",Hulu : Online,263,0,234.9,0,0,0,0,0,0,18.7,9.4,0
"WEEK OF SEP 07, 2015 (B)",Hulu-Hotwives Of Las Vegas : Online,87.2,0,0,0,0,87.2,0,0,0,0,0,0
"WEEK OF SEP 07, 2015 (B)",Hulu-Manhattan : Online,0.4,0,0.4,0,0,0,0,0,0,0,0,0
"WEEK OF SEP 07, 2015 (B)",Hulu-Youre The Worst : Online,11.5,0,11.5,0,0,0,0,0,0,0,0,0
"WEEK OF SEP 14, 2015 (B)",Hulu : Online,907,618.8,260.1,0,0,0,0,0,0,18.7,9.4,0
"WEEK OF SEP 14, 2015 (B)",Hulu-Difficult People : Online,129.6,0,0,0,0,0,129.6,0,0,0,0,0
"WEEK OF SEP 14, 2015 (B)",Hulu-Mindy Project : Online,120.1,0,120.1,0,0,0,0,0,0,0,0,0
"WEEK OF SEP 14, 2015 (B)",Hulu-Youre The Worst : Online,7.9,0,7.9,0,0,0,0,0,0,0,0,0
"WEEK OF SEP 21, 2015 (B)",Hulu : Online,636.2,371.4,236.7,0,0,0,0,0,0,18.7,9.4,0
"WEEK OF SEP 21, 2015 (B)",Hulu-Youre The Worst : Online,11.9,0,11.9,0,0,0,0,0,0,0,0,0
"WEEK OF SEP 28, 2015 (B)",Hulu : Online,521.4,321.1,96.1,0,0.2,0,0,0,0,18.3,4,81.6
"WEEK OF SEP 28, 2015 (B)",Hulu Plus : Online,601.7,0,0.3,0,0,0,0,0,0,0,0,601.4
"WEEK OF SEP 28, 2015 (B)",Hulu-Casual : Online,29.7,0,17.7,0,0,0,0,0,0,0,0,12
"WEEK OF SEP 28, 2015 (B)",Hulu-Difficult People : Online,204.9,0,0,0,0,204.9,0,0,0,0,0,0
"WEEK OF SEP 28, 2015 (B)",Hulu-Jack Hannas Wild Countdown : Online,0,0,0,0,0,0,0,0,0,0,0,0
"WEEK OF SEP 28, 2015 (B)",Hulu-Mindy Project : Online,238.4,143.5,49.1,0,28.1,0,0,0,0,0,0,17.7
"WEEK OF SEP 28, 2015 (B)",Hulu-Youre The Worst : Online,5.5,0,5.5,0,0,0,0,0,0,0,0,0
"WEEK OF OCT 05, 2015 (B)",Hulu : Online,1884,1554.4,295.9,0,15.7,0,0,0,0,18.1,0,0
"WEEK OF OCT 05, 2015 (B)",Hulu-Casual : Online,387.4,0,8.1,0,93.6,204.9,0,80.8,0,0,0,0
"WEEK OF OCT 05, 2015 (B)",Hulu-Jack Hannas Wild Countdown : Online,1.9,0,0,1.8,0.1,0,0,0,0,0,0,0
"WEEK OF OCT 05, 2015 (B)",Hulu-Mindy Project : Online,25.7,0,0,0,25.7,0,0,0,0,0,0,0
"WEEK OF OCT 05, 2015 (B)",Hulu-Youre The Worst : Online,3.1,0,3.1,0,0,0,0,0,0,0,0,0
"WEEK OF OCT 12, 2015 (B)",Hulu : Online,2878.9,1827.8,1013.4,0,19.6,0,0,0,0,18.1,0,0
"WEEK OF OCT 12, 2015 (B)",Hulu-Casual : Online,571.8,16.6,215,0,36.3,174.2,129.6,0,0,0,0,0
"WEEK OF OCT 12, 2015 (B)",Hulu-Jack Hannas Wild Countdown : Online,3.7,0,0,3.7,0,0,0,0,0,0,0,0
"WEEK OF OCT 12, 2015 (B)",Hulu-Youre The Worst : Online,3.1,0,3.1,0,0,0,0,0,0,0,0,0
"WEEK OF OCT 19, 2015 (B)",Hulu : Online,2961.3,2440.1,486.6,0,16.5,0,0,0,0,18.1,0,0
"WEEK OF OCT 19, 2015 (B)",Hulu Plus : Online,9.8,5.8,3.5,0,0.5,0,0,0,0,0,0,0
"WEEK OF OCT 19, 2015 (B)",Hulu-Casual : Online,449.1,51.8,175.2,0,0,222.2,0,0,0,0,0,0
"WEEK OF OCT 19, 2015 (B)",Hulu-Jack Hannas Wild Countdown : Online,1.9,0,0,1.8,0.1,0,0,0,0,0,0,0
"WEEK OF OCT 19, 2015 (B)",Hulu-Youre The Worst : Online,3.1,0,3.1,0,0,0,0,0,0,0,0,0
"WEEK OF OCT 26, 2015 (B)",Hulu : Online,4481.6,3179.8,573.3,0,19.4,0,0,0,0,18.8,0,690.3
"WEEK OF OCT 26, 2015 (B)",Hulu Plus : Online,330.7,0,6.2,0,0.3,0,0,0,0,0,0,324.2
"WEEK OF OCT 26, 2015 (B)",Hulu-Casual : Online,490,0,272.7,0,0,217.4,0,0,0,0,0,0
"WEEK OF OCT 26, 2015 (B)",Hulu-Jack Hannas Wild Countdown : Online,3.7,0,0,3.7,0,0,0,0,0,0,0,0
"WEEK OF OCT 26, 2015 (B)",Hulu-Youre The Worst : Online,3.1,0,3.1,0,0,0,0,0,0,0,0,0
"WEEK OF NOV 02, 2015 (B)",Hulu : Online,1585.6,1108.9,428.4,0,24.9,0,0,0,0,23.3,0,0
"WEEK OF NOV 02, 2015 (B)",Hulu Plus : Online,3.5,0,3.5,0,0,0,0,0,0,0,0,0
"WEEK OF NOV 02, 2015 (B)",Hulu-Casual : Online,152.5,0,152.5,0,0,0,0,0,0,0,0,0
"WEEK OF NOV 02, 2015 (B)",Hulu-Jack Hannas Wild Countdown : Online,1.8,0,0,1.8,0,0,0,0,0,0,0,0
"WEEK OF NOV 02, 2015 (B)",Hulu-Youre The Worst : Online,3.7,0,3.7,0,0,0,0,0,0,0,0,0
"WEEK OF NOV 09, 2015 (B)",Hulu : Online,791.4,356,388.6,0,23.5,0,0,0,0,23.3,0,0
"WEEK OF NOV 09, 2015 (B)",Hulu Plus : Online,2.1,0,2.1,0,0,0,0,0,0,0,0,0
"WEEK OF NOV 09, 2015 (B)",Hulu-Casual : Online,107.8,0,107.8,0,0,0,0,0,0,0,0,0
"WEEK OF NOV 09, 2015 (B)",Hulu-Jack Hannas Wild Countdown : Online,1.8,0,0,1.8,0,0,0,0,0,0,0,0
"WEEK OF NOV 09, 2015 (B)",Hulu-Youre The Worst : Online,3.7,0,3.7,0,0,0,0,0,0,0,0,0
"WEEK OF NOV 16, 2015 (B)",Hulu : Online,3424.6,2609.3,765.9,0,26.1,0,0,0,0,23.3,0,0
"WEEK OF NOV 16, 2015 (B)",Hulu Plus : Online,0.6,0,0.6,0,0,0,0,0,0,0,0,0
"WEEK OF NOV 16, 2015 (B)",Hulu-Jack Hannas Wild Countdown : Online,0.2,0,0,0,0.2,0,0,0,0,0,0,0
"WEEK OF NOV 16, 2015 (B)",Hulu-Youre The Worst : Online,3.7,0,3.7,0,0,0,0,0,0,0,0,0
"WEEK OF NOV 23, 2015 (B)",Hulu : Online,3996.4,3171.4,775.9,0,25.7,0,0,0,0,23.3,0,0
"WEEK OF NOV 23, 2015 (B)",Hulu-Jack Hannas Wild Countdown : Online,1.9,0,0,1.8,0.1,0,0,0,0,0,0,0
"WEEK OF NOV 23, 2015 (B)",Hulu-Youre The Worst : Online,0.4,0,0.4,0,0,0,0,0,0,0,0,0
"WEEK OF NOV 30, 2015 (B)",Hulu : Online,2088.8,1151.3,477.8,0,34.3,368.6,0,0,0,18.8,0,38
"WEEK OF NOV 30, 2015 (B)",Hulu Plus : Online,23.3,0,0,0,0,0,0,0,0,0,0,23.3
"WEEK OF NOV 30, 2015 (B)",Hulu-Jack Hannas Wild Countdown : Online,3.8,0,0,3.8,0,0,0,0,0,0,0,0
"WEEK OF NOV 30, 2015 (B)",Hulu-Youre The Worst : Online,1.9,0,1.9,0,0,0,0,0,0,0,0,0
"WEEK OF DEC 07, 2015 (B)",Hulu : Online,1143.6,571.1,451.3,0,49.6,53.5,0,0,0,18.1,0,0
"WEEK OF DEC 07, 2015 (B)",Hulu-Jack Hannas Wild Countdown : Online,1.8,0,0,1.8,0.1,0,0,0,0,0,0,0
"WEEK OF DEC 07, 2015 (B)",Hulu-Youre The Worst : Online,1.9,0,1.9,0,0,0,0,0,0,0,0,0
"WEEK OF DEC 14, 2015 (B)",Hulu : Online,2112.1,1300,543.9,0,45.2,204.9,0,0,0,18.1,0,0
"WEEK OF DEC 14, 2015 (B)",Hulu-Casual : Online,29.4,0,0,0,0,0,0,0,29.4,0,0,0
"WEEK OF DEC 14, 2015 (B)",Hulu-Seinfeld : Online,65.5,0,65.5,0,0,0,0,0,0,0,0,0
"WEEK OF DEC 14, 2015 (B)",Hulu-Youre The Worst : Online,0.4,0,0.4,0,0,0,0,0,0,0,0,0
"WEEK OF DEC 21, 2015 (B)",Hulu : Online,3281.9,1052.7,907.5,0,97.1,1206.6,0,0,0,18.1,0,0
"WEEK OF DEC 21, 2015 (B)",Hulu-Casual : Online,160.9,0,0,0,0,0,0,142.9,18.1,0,0,0
"WEEK OF DEC 21, 2015 (B)",Hulu-Jack Hannas Wild Countdown : Online,1.9,0,0,1.8,0.1,0,0,0,0,0,0,0
"WEEK OF DEC 28, 2015 (B)",Hulu : Online,1477.6,458.4,579.9,0,0,429,0,0,0,10.3,0,0
"WEEK OF DEC 28, 2015 (B)",Hulu-Casual : Online,242.6,0,0,0,0,0,0,242.6,0,0,0,0
"WEEK OF DEC 28, 2015 (B)",Hulu-Jack Hannas Wild Countdown : Online,3.8,0,0,3.8,0,0,0,0,0,0,0,0
"WEEK OF JAN 04, 2016 (B)",Hulu : Online,773.6,575,198.6,0,0,0,0,0,0,0,0,0
"WEEK OF JAN 04, 2016 (B)",Hulu-Empire : Online,0.5,0,0,0,0.5,0,0,0,0,0,0,0
"WEEK OF JAN 04, 2016 (B)",Hulu-Jack Hannas Wild Countdown : Online,1.8,0,0,1.8,0.1,0,0,0,0,0,0,0
"WEEK OF JAN 11, 2016 (B)",Hulu : Online,199.1,0,171.1,0,28,0,0,0,0,0,0,0
"WEEK OF JAN 11, 2016 (B)",Hulu-Empire : Online,0.2,0,0,0,0.2,0,0,0,0,0,0,0
"WEEK OF JAN 11, 2016 (B)",Hulu-Jack Hannas Wild Countdown : Online,3.8,0,0,3.8,0,0,0,0,0,0,0,0
"WEEK OF JAN 18, 2016 (B)",Hulu : Online,1341.4,1235.9,96.7,0,8.7,0,0,0,0,0,0,0
"WEEK OF JAN 18, 2016 (B)",Hulu-Empire : Online,0,0,0,0,0,0,0,0,0,0,0,0
"WEEK OF JAN 18, 2016 (B)",Hulu-Jack Hannas Wild Countdown : Online,1.8,0,0,1.8,0.1,0,0,0,0,0,0,0
"WEEK OF JAN 25, 2016 (B)",Hulu : Online,1219.7,966.2,217.8,0,35.7,0,0,0,0,0,0,0
"WEEK OF JAN 25, 2016 (B)",Hulu-Jack Hannas Wild Countdown : Online,3.8,0,0,3.8,0,0,0,0,0,0,0,0
"WEEK OF FEB 01, 2016 (B)",Hulu : Corporate Promotion,149.5,0,0,0,0,0,0,0,0,0,0,149.5
"WEEK OF FEB 01, 2016 (B)",Hulu : Online,848,596.4,115.3,0,32.5,0,0,0,0,0,0,103.8
"WEEK OF FEB 01, 2016 (B)",Hulu-Jack Hannas Wild Countdown : Online,1.8,0,0,1.8,0,0,0,0,0,0,0,0
"WEEK OF FEB 08, 2016 (B)",Hulu : Online,683.7,533.4,122.6,0,27.7,0,0,0,0,0,0,0
"WEEK OF FEB 08, 2016 (B)",Hulu-11.22.63 : Online,162.3,0,162.3,0,0,0,0,0,0,0,0,0
"WEEK OF FEB 08, 2016 (B)",Hulu-Jack Hannas Wild Countdown : Online,3.9,0,0,3.9,0,0,0,0,0,0,0,0
"WEEK OF FEB 15, 2016 (B)",Hulu : Online,370,222.9,131.8,0,15.3,0,0,0,0,0,0,0
"WEEK OF FEB 15, 2016 (B)",Hulu-11.22.63 : Online,1161.1,411.6,564.1,0,0,185.4,0,0,0,0,0,0
"WEEK OF FEB 15, 2016 (B)",Hulu-Jack Hannas Wild Countdown : Online,1.8,0,0,1.8,0,0,0,0,0,0,0,0
"WEEK OF FEB 22, 2016 (B)",Hulu : Online,630.2,458.8,144.5,0,26.8,0,0,0,0,0,0,0
"WEEK OF FEB 22, 2016 (B)",Hulu-11.22.63 : Online,777.1,0,186.6,0,0,590.5,0,0,0,0,0,0
"WEEK OF FEB 22, 2016 (B)",Hulu-Jack Hannas Wild Countdown : Online,3.9,0,0,3.9,0,0,0,0,0,0,0,0
"WEEK OF FEB 29, 2016 (B)",Hulu : Online,1275.8,426.9,361.4,0,30.1,0,0,0,0,0,0,457.4
"WEEK OF FEB 29, 2016 (B)",Hulu-11.22.63 : Online,199.4,0,52.8,0,0,146.6,0,0,0,0,0,0
"WEEK OF FEB 29, 2016 (B)",Hulu-Jack Hannas Wild Countdown : Online,2.1,0,0,2.1,0,0,0,0,0,0,0,0
"WEEK OF MAR 07, 2016 (B)",Hulu : Online,1050.4,639.5,382.8,0,28,0,0,0,0,0,0,0
"WEEK OF MAR 14, 2016 (B)",Hulu : Online,1133.9,600.4,521.1,0,12.4,0,0,0,0,0,0,0
"WEEK OF MAR 14, 2016 (B)",Hulu-Jack Hannas Wild Countdown : Online,2.1,0,0,2.1,0,0,0,0,0,0,0,0
"WEEK OF MAR 21, 2016 (B)",Hulu : Online,624.9,428.5,182.8,7.7,5.9,0,0,0,0,0,0,0
"WEEK OF MAR 21, 2016 (B)",Hulu-11.22.63 : Online,339.6,0,0,0,0,339.6,0,0,0,0,0,0
"WEEK OF MAR 21, 2016 (B)",Hulu-Path : Online,699.7,151.5,387.9,0,0,0,0,160.3,0,0,0,0
"WEEK OF MAR 28, 2016 (B)",Hulu : Corporate Promotion,74.8,0,0,0,0,0,0,0,0,0,0,74.8
"WEEK OF MAR 28, 2016 (B)",Hulu : Online,614.7,140.3,304.7,0,0,0,0,0,0,27.1,0,142.6
"WEEK OF MAR 28, 2016 (B)",Hulu-11.22.63 : Online,199.2,0,0,0,0,199.2,0,0,0,0,0,0
"WEEK OF MAR 28, 2016 (B)",Hulu-Curious George : Online,237.2,101.6,1.6,133.8,0.2,0,0,0,0,0,0,0
"WEEK OF MAR 28, 2016 (B)",Hulu-Jack Hannas Wild Countdown : Online,2.2,0,0,2.2,0,0,0,0,0,0,0,0
"WEEK OF MAR 28, 2016 (B)",Hulu-Mindy Project : Online,24.4,0,0,0,0,0,0,0,0,0,0,24.4
"WEEK OF MAR 28, 2016 (B)",Hulu-Path : Online,1385,52,902.3,0,0,415.2,0,0,15.5,0,0,0
"WEEK OF MAR 28, 2016 (B)",Hulu-Seinfeld : Online,39.7,0,0,0,0,0,0,0,0,0,39.7,0
"WEEK OF APR 04, 2016 (B)",Hulu : Online,1343.7,725.9,543,0,11.7,0,0,0,0,63.1,0,0
"WEEK OF APR 04, 2016 (B)",Hulu-11.22.63 : Online,233.3,0,0,0,0,233.3,0,0,0,0,0,0
"WEEK OF APR 04, 2016 (B)",Hulu-Curious George : Online,36.2,28,7.6,0,0.6,0,0,0,0,0,0,0
"WEEK OF APR 04, 2016 (B)",Hulu-Path : Online,269.8,0,269.8,0,0,0,0,0,0,0,0,0
"WEEK OF APR 04, 2016 (B)",Hulu-Seinfeld : Online,92.7,0,0,0,0,0,0,0,0,0,92.7,0
"WEEK OF APR 11, 2016 (B)",Hulu : Online,1001.8,382.8,537.2,0,18.8,0,0,0,0,63.1,0,0
"WEEK OF APR 11, 2016 (B)",Hulu-Curious George : Online,8.1,0,8.1,0,0,0,0,0,0,0,0,0
"WEEK OF APR 11, 2016 (B)",Hulu-Mindy Project : Online,12.6,0,12.6,0,0,0,0,0,0,0,0,0
"WEEK OF APR 11, 2016 (B)",Hulu-Path : Online,271.5,0,271.5,0,0,0,0,0,0,0,0,0
"WEEK OF APR 11, 2016 (B)",Hulu-Seinfeld : Online,92.7,0,0,0,0,0,0,0,0,0,92.7,0
"WEEK OF APR 18, 2016 (B)",Hulu : Online,992.8,604.8,318.4,0,6.5,0,0,0,0,63.1,0,0
"WEEK OF APR 18, 2016 (B)",Hulu-Curious George : Online,3.2,0,3.2,0,0,0,0,0,0,0,0,0
"WEEK OF APR 18, 2016 (B)",Hulu-Mindy Project : Online,7.7,0,7.7,0,0,0,0,0,0,0,0,0
"WEEK OF APR 18, 2016 (B)",Hulu-Path : Online,295.3,0,62.1,0,0,233.3,0,0,0,0,0,0
"WEEK OF APR 18, 2016 (B)",Hulu-Seinfeld : Online,92.7,0,0,0,0,0,0,0,0,0,92.7,0
"WEEK OF APR 25, 2016 (B)",Hulu : Online,1614.3,545.4,470.2,0,22.1,0,0,0,0,67.3,0,509.3
"WEEK OF APR 25, 2016 (B)",Hulu-Mindy Project : Online,14.1,0,10.4,0,0,0,0,0,0,0,0,3.7
"WEEK OF APR 25, 2016 (B)",Hulu-Seinfeld : Online,97.8,0,0,0,0,0,0,0,0,0,97.8,0
"WEEK OF MAY 02, 2016 (B)",Hulu : Online,1293.2,685.7,506.6,0,8.2,0,0,0,0,92.6,0,0
"WEEK OF MAY 02, 2016 (B)",Hulu-Path : Online,15.5,0,15.5,0,0,0,0,0,0,0,0,0
"WEEK OF MAY 02, 2016 (B)",Hulu-Seinfeld : Online,128.3,0,0,0,0,0,0,0,0,0,128.3,0
"WEEK OF MAY 09, 2016 (B)",Hulu : Online,871.8,418.2,353.7,0,7.2,0,0,0,0,92.6,0,0
"WEEK OF MAY 09, 2016 (B)",Hulu-Path : Online,0.3,0,0.3,0,0,0,0,0,0,0,0,0
"WEEK OF MAY 09, 2016 (B)",Hulu-Seinfeld : Online,128.3,0,0,0,0,0,0,0,0,0,128.3,0
"WEEK OF MAY 16, 2016 (B)",Hulu : Online,785.6,281.1,391.1,0,20.8,0,0,0,0,92.6,0,0
"WEEK OF MAY 16, 2016 (B)",Hulu-Jack Hannas Wild Countdown : Online,3.8,0,0,3.8,0,0,0,0,0,0,0,0
"WEEK OF MAY 16, 2016 (B)",Hulu-Path : Online,1.2,0,1.2,0,0,0,0,0,0,0,0,0
"WEEK OF MAY 16, 2016 (B)",Hulu-Seinfeld : Online,128.3,0,0,0,0,0,0,0,0,0,128.3,0
"WEEK OF MAY 23, 2016 (B)",Hulu : Online,868.3,355.7,411.9,0,8,0,0,0,0,92.6,0,0
"WEEK OF MAY 23, 2016 (B)",Hulu-Jack Hannas Wild Countdown : Online,3.8,0,0,3.8,0,0,0,0,0,0,0,0
"WEEK OF MAY 23, 2016 (B)",Hulu-Path : Online,4.8,0,4.8,0,0,0,0,0,0,0,0,0
"WEEK OF MAY 23, 2016 (B)",Hulu-Seinfeld : Online,128.3,0,0,0,0,0,0,0,0,0,128.3,0
"WEEK OF MAY 30, 2016 (B)",Hulu : Online,991.8,0,589.2,0,30.7,0,0,0,58.8,26.5,0,286.6
"WEEK OF MAY 30, 2016 (B)",Hulu-Casual : Online,8,0,8,0,0,0,0,0,0,0,0,0
"WEEK OF MAY 30, 2016 (B)",Hulu-Ocean Mysteries : Online,2.4,0,0,2.4,0,0,0,0,0,0,0,0
"WEEK OF MAY 30, 2016 (B)",Hulu-Seinfeld : Online,36.6,0,0,0,0,0,0,0,0,0,36.6,0
"WEEK OF JUN 06, 2016 (B)",Hulu : Online,492.8,47,436.7,0,9.1,0,0,0,0,0,0,0
"WEEK OF JUN 06, 2016 (B)",Hulu-Casual : Online,241,0,225.5,0,0,0,0,0,15.5,0,0,0
"WEEK OF JUN 06, 2016 (B)",Hulu-He Named Me Malala : Online,0.6,0,0.6,0,0,0,0,0,0,0,0,0
"WEEK OF JUN 06, 2016 (B)",Hulu-Jack Hannas Wild Countdown : Online,3.7,0,0,3.7,0,0,0,0,0,0,0,0
"WEEK OF JUN 13, 2016 (B)",Hulu : Online,415.3,0,390,0,25.3,0,0,0,0,0,0,0
"WEEK OF JUN 13, 2016 (B)",Hulu-Casual : Online,508,0,221.2,0,0,286.8,0,0,0,0,0,0
